67.728	59.187	68.283	59.438	67.4	58.8	61.7789
88.128	48.387	88.483	48.238	87.4	48	50.3423
90.328	56.387	90.883	56.438	89.8	55.6	58.9197
62.528	85.787	63.283	86.038	61.4	85.8	89.145
83.728	49.987	84.283	50.238	83.2	49.8	51.9761
51.728	47.187	52.083	47.438	51.6	47.4	49.1169
46.528	60.787	47.083	61.238	46.4	60.8	63.4127
48.928	61.787	49.283	62.038	48.8	62	64.2296
75.528	64.787	76.083	65.238	75	64.4	67.4971
63.728	53.387	63.883	53.838	63	53.2	55.6521
82.328	64.787	82.683	65.038	82	64.4	67.4971
53.328	52.987	53.483	53.438	52.8	53.4	55.2437
83.328	42.587	83.683	42.638	82.4	42.4	44.2155
45.728	58.187	45.883	58.638	45.4	58.2	60.962
64.928	52.387	65.283	52.838	64.4	52.4	54.4268
46.728	51.587	46.883	51.838	46.4	51.6	53.6098
61.528	53.987	62.083	54.238	61.2	54	56.469
74.728	90.387	75.283	90.638	75.72	91.8	94.4548
48.728	57.987	49.083	58.438	48.4	58.2	60.1451
84.128	51.787	84.283	51.838	83.4	51.2	52.3845
49.328	59.187	50.523	59.438	49.2	59.4	61.3704
51.128	54.787	51.283	55.038	50.8	54.6	56.469
99.328	61.387	99.883	61.238	99	60.6	49.9338
54.128	56.987	54.283	57.438	53.8	57	58.9197
53.928	55.587	54.083	56.038	53.6	55.6	57.6944
73.928	51.387	74.283	51.438	73.2	51	53.6098
80.728	88.187	81.483	88.438	80.8	87.8	92.4126
80.728	48.787	81.283	48.838	80	48.4	51.1591
49.128	39.187	49.083	39.438	48.4	39.6	40.5395
54.128	52.787	54.483	53.038	53.8	53	54.8352
96.928	8.387	97.083	8.038	95.6	7.6	19.7085
74.128	58.387	74.883	58.438	74	58	62.1873
79.128	61.387	79.683	61.438	78.6	60.8	63.0042
76.528	46.187	76.883	46.438	76	46	48.3
67.928	53.187	68.283	53.438	67.4	53	55.6521
77.328	48.187	77.683	47.838	76.6	47.6	50.3423
61.728	87.387	62.083	87.438	61.8	87.4	89.9619
51.328	48.787	51.483	49.238	50.8	49	50.3423
62.528	58.387	62.883	58.638	62	58	57.2859
93.128	49.587	93.883	49.638	92.6	49	51.9761
45.928	59.387	46.483	60.038	45.8	59.4	62.1873
77.928	57.387	78.283	57.638	77.4	57	60.1451
80.528	60.387	80.883	60.238	80.2	59.8	63.0042
76.928	53.587	77.283	53.638	76.4	53.2	55.6521
77.528	67.787	78.083	68.638	77.2	67	71.9901
98.528	47.787	99.083	47.838	98	47	49.1169
59.128	87.787	59.683	87.838	59.2	87.6	90.3704
88.128	65.987	88.883	66.038	84.8	64.4	68.314
95.328	67.387	95.683	67.438	95	66.6	69.9478
61.128	85.387	61.683	85.638	61.9429	87.8	87.9196
46.128	67.187	46.283	67.838	45.8	67.4	70.3563
46.528	88.987	47.083	89.438	46.8	89	92.821
63.528	56.587	63.683	57.038	63	56.6	59.3281
57.928	52.787	58.283	53.038	57.6	52.6	55.6521
56.328	46.387	56.283	46.638	55.6	46.4	48.3
73.528	65.187	73.883	65.438	73.2	64.8	67.9056
48.328	59.387	48.483	60.038	48	59.6	62.1873
55.728	51.987	55.883	52.238	55.2	52	54.0183
95.328	34.187	95.683	34.038	94.4	33.4	36.0465
94.328	50.187	95.083	50.238	93.8	49.4	51.5676
95.528	72.187	96.283	72.238	95.4	71.4	74.8492
67.728	35.187	67.883	35.238	67	34.8	36.8634
62.128	41.187	62.483	41.238	61.6	40.8	42.9902
41.128	57.987	41.283	58.438	40.6	58.2	60.1451
68.928	61.187	69.483	61.638	68.4	60.6	64.638
49.528	62.787	49.883	63.438	49.4	63	65.8633
52.528	54.787	52.683	55.038	52.2	54.6	56.8774
67.328	55.987	67.083	57.438	66.4	55.6	55.6521
69.928	54.587	70.283	54.638	70.4	53.6	56.8774
57.328	88.787	58.083	89.038	57.4	89	92.0042
67.928	71.187	68.283	71.438	67.6	70.8	74.0323
89.328	45.787	89.683	45.638	88.4	45.2	47.8915
65.328	38.187	65.483	38.238	64.6	38	39.7225
85.928	56.387	86.683	56.438	85.4	55.8	58.5113
93.928	76.387	94.483	76.438	93.6	75.6	78.9337
45.728	59.387	45.883	59.838	45.4	59.4	62.1873
60.728	61.787	60.883	62.238	60.2	61.6	65.0464
65.128	59.387	65.483	59.638	64.6	59	61.7789
84.928	60.387	85.683	60.438	84.4	59.8	63.0042
69.128	45.387	69.683	45.638	79.2	74.8	47.4831
50.928	66.387	51.083	67.038	50.8	66.6	70.3563
70.928	55.987	71.083	56.238	70.4	55.6	58.5113
80.328	83.987	81.083	83.838	80.4	83.6	86.2859
61.128	53.987	61.283	54.038	60.4	54	55.6521
88.928	94.387	89.483	95.638	89	93	100.173
76.528	75.987	77.283	76.038	76.4	75.6	77.7084
53.128	73.787	53.283	74.038	52.6	75.05	76.8915
74.528	45.187	74.683	45.038	73.8	44.6	47.4831
59.728	52.587	60.083	52.838	59.2	52.6	54.4268
41.928	70.987	42.483	71.238	41.8	71	75.2577
98.528	40.187	98.683	39.838	97.4	39.6	42.1732
66.928	93.787	66.883	93.438	67	93.6	98.1309
53.328	57.787	52.883	58.438	52.4	58	60.5535
88.928	53.387	89.283	53.438	88.4	52.8	55.6521
45.128	55.387	45.283	55.638	44.8	55.4	57.2859
57.328	70.787	58.283	71.438	57.2	70.6	73.2155
46.328	54.387	46.483	54.638	46	54.2	56.469
50.978	49.187	51.083	49.438	50	49.2	51.1592
80.328	58.987	80.683	59.038	79.8	58.6	61.3704
55.128	57.387	55.483	57.638	54.6	57.2	59.7366
60.728	52.387	61.083	52.638	60.4	52.4	54.4268
48.328	48.987	48.683	49.438	42.8	47.4	51.1591
72.728	53.987	73.083	53.838	72	53.6	56.0606
53.328	71.987	53.683	72.438	53	71.8	74.8492
56.128	54.987	55.883	55.438	55.2	55	51.1591
64.528	35.187	64.483	35.638	64	35.2	37.2719
43.928	58.587	45.683	54.838	45	54.8	56.8774
61.928	43.187	62.083	43.238	61.2	43.2	45.0324
40.528	65.187	40.683	65.638	40.2	65.2	67.9056
77.328	74.787	78.083	75.238	77.2	74.4	77.7084
85.528	68.387	86.083	68.438	85.2	68	71.1732
75.328	56.987	76.083	56.838	75.12	56.6	58.9197
