83.728	49.987	84.283	50.238	83.2	49.8
46.528	60.787	47.083	61.238	46.4	60.8
82.328	64.787	82.683	65.038	82	64.4
46.728	51.587	46.883	51.838	46.4	51.6
61.528	53.987	62.083	54.238	61.2	54
74.128	58.387	74.883	58.438	74	58
79.128	61.387	79.683	61.438	78.6	60.8
88.128	65.987	88.883	66.038	84.8	64.4
95.328	67.387	95.683	67.438	95	66.6
67.728	35.187	67.883	35.238	67	34.8
68.928	61.187	69.483	61.638	68.4	60.6
85.928	56.387	86.683	56.438	85.4	55.8
65.128	59.387	65.483	59.638	64.6	59
61.128	53.987	61.283	54.038	60.4	54
41.928	70.987	42.483	71.238	41.8	71
57.328	70.787	58.283	71.438	57.2	70.6
46.328	54.387	46.483	54.638	46	54.2
40.528	65.187	40.683	65.638	40.2	65.2
55.728	73.187	56.283	73.238	55.6	73
64.928	52.187	65.283	52.238	64.4	51.8
89.528	52.987	89.683	52.838	89.4	52.6
78.928	77.787	79.883	78.238	79	77
68.528	34.587	68.683	34.838	67.6	34.4
80.928	61.187	81.483	61.038	80.4	60.6
85.328	61.387	86.083	61.638	85	61
59.328	57.587	59.683	57.838	58.8	57.4
84.528	29.387	85.083	29.238	83.6	28.8
50.528	53.587	50.683	54.038	50	53.8
54.728	63.187	55.283	63.438	54.4	63.2
77.128	34.387	77.083	34.238	76	34.2
48.128	51.187	48.483	51.438	47.8	51.4
53.928	49.187	54.483	49.238	53.8	49.2
80.728	52.387	80.883	52.438	80	52
70.128	72.787	70.683	72.838	70	72.4
77.528	46.187	77.883	46.238	76.8	45.8
67.328	73.587	67.883	73.838	67.2	73.6
81.128	81.787	81.883	81.638	81	81.4
58.728	59.587	59.083	60.238	58.4	59.6
64.728	54.387	65.083	54.638	64.2	54.4
58.928	58.187	59.483	58.238	58.6	58.2
83.528	51.987	84.283	51.838	83	51.4
65.928	55.387	63.683	53.038	65.2	55.2
69.728	94.187	70.683	94.638	70	93.8
71.328	90.787	72.083	91.038	71.4	90.6
41.328	76.787	41.683	77.638	41.4	76.6667
43.928	58.387	44.083	58.638	43.8	58.4
76.128	56.187	76.483	56.238	75.6	55.6
66.728	46.987	66.683	47.038	66	46.8
66.528	46.987	66.683	47.038	65.8	46.8
99.328	23.787	99.083	23.238	98.2	23.4
52.328	56.787	52.683	57.238	52	56.8
60.528	47.187	60.683	47.438	60	47
84.928	52.187	85.083	52.438	84	51.6
90.928	34.587	91.083	34.438	90	34
60.528	81.387	60.683	81.838	60.4	81.2
50.528	79.387	51.083	80.038	50.8	79.4
51.128	60.787	51.483	61.038	50.8	60.8
78.328	46.587	80.483	47.438	77.6	46.2
61.728	55.387	62.083	55.638	61.4	55.2
61.328	81.987	61.883	82.238	61.6	81.6
